CANVAS[10080] bounds(2786,3512/3507,4233) rotate(29.3)
CANVAS[10080] bounds(2812,3488/3550,4225) rotate(34.3)
CANVAS[10080] bounds(2830,3703/3360,4233) rotate(10.2)
CANVAS[10080] bounds(2852,3749/3364,4261) rotate(0.0)
CANVAS[10080] bounds(3128,3609/3743,4224) rotate(13.2)
CANVAS[10080] bounds(3160,3660/3749,4249) rotate(6.7)
CANVAS[10184] bounds(-29,2954/461,3617) rotate(93.4)
CANVAS[10184] bounds(161,3829/520,4329) rotate(89.0)
CANVAS[10184] bounds(161,3830/519,4328) rotate(89.0)
CANVAS[10184] bounds(175,3851/508,4321) rotate(91.6)
CANVAS[10184] bounds(182,3278/715,3799) rotate(138.8)
CANVAS[10184] bounds(189,3022/664,3650) rotate(84.7)
CANVAS[10184] bounds(23,3095/434,3665) rotate(88.9)
CANVAS[10184] bounds(255,3109/759,3784) rotate(94.2)
CANVAS[10184] bounds(262,3116/752,3779) rotate(93.4)
CANVAS[10184] bounds(323,2986/864,3665) rotate(78.7)
CANVAS[10184] bounds(79,2993/495,3558) rotate(86.9)
CANVAS[10205] bounds(150,3602/749,4257) rotate(120.5)
CANVAS[10205] bounds(193,3605/724,4200) rotate(116.5)
CANVAS[10205] bounds(291,3529/677,4035) rotate(96.5)
CANVAS[10205] bounds(309,3644/841,4223) rotate(121.2)
CANVAS[10205] bounds(420,2971/908,3626) rotate(94.2)
CANVAS[10205] bounds(444,3148/824,3668) rotate(92.3)
CANVAS[10205] bounds(521,2976/994,3592) rotate(97.2)
CANVAS[10205] bounds(611,3436/1167,4184) rotate(94.0)
CANVAS[10205] bounds(614,2935/994,3455) rotate(92.3)
CANVAS[10205] bounds(642,3503/1145,4150) rotate(98.4)
CANVAS[10205] bounds(643,3504/1145,4150) rotate(98.4)
CANVAS[10205] bounds(685,3053/1301,3805) rotate(104.5)
CANVAS[10205] bounds(709,3003/1116,3559) rotate(92.6)
CANVAS[10205] bounds(745,3024/1316,3738) rotate(101.6)
CANVAS[10205] bounds(795,3096/1157,3582) rotate(93.7)
CANVAS[10205] bounds(814,3599/1138,4050) rotate(91.3)
CANVAS[10221] bounds(114,2942/588,3577) rotate(445.4)
CANVAS[10221] bounds(126,2749/805,3624) rotate(441.5)
CANVAS[10221] bounds(163,2663/680,3341) rotate(443.5)
CANVAS[10221] bounds(175,3621/589,4190) rotate(92.2)
CANVAS[10221] bounds(194,2910/703,3579) rotate(96.3)
CANVAS[10221] bounds(207,3681/590,4196) rotate(93.3)
CANVAS[10221] bounds(212,3690/583,4192) rotate(93.3)
CANVAS[10221] bounds(215,2951/861,3830) rotate(447.1)
CANVAS[10221] bounds(227,3103/681,3709) rotate(83.5)
CANVAS[10221] bounds(241,3697/634,4232) rotate(87.3)
CANVAS[10221] bounds(248,3655/654,4194) rotate(84.7)
CANVAS[10221] bounds(260,3477/679,4026) rotate(96.7)
CANVAS[10221] bounds(279,3343/667,3888) rotate(90.2)
CANVAS[10221] bounds(291,2769/765,3404) rotate(95.9)
CANVAS[10221] bounds(300,2835/973,3751) rotate(93.2)
CANVAS[10221] bounds(327,2888/805,3525) rotate(94.9)
CANVAS[10221] bounds(332,2881/805,3511) rotate(95.0)
CANVAS[10221] bounds(332,3141/846,3810) rotate(97.4)
CANVAS[10221] bounds(346,2889/928,3669) rotate(94.4)
CANVAS[10221] bounds(381,3141/822,3747) rotate(91.9)
CANVAS[10221] bounds(408,2912/774,3420) rotate(91.4)
CANVAS[10221] bounds(504,2768/1249,3764) rotate(94.6)
CANVAS[10221] bounds(504,2769/1247,3765) rotate(94.6)
CANVAS[10221] bounds(520,2963/888,3464) rotate(93.0)
CANVAS[10221] bounds(562,2901/1189,3650) rotate(107.3)
CANVAS[10221] bounds(563,2907/1188,3654) rotate(107.4)
CANVAS[10221] bounds(577,2937/1154,3692) rotate(96.8)
CANVAS[10221] bounds(587,2955/1140,3684) rotate(96.0)
CANVAS[10221] bounds(63,2923/546,3585) rotate(87.6)
